,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
island,0,0,0,0,0,0,0,0
sea,0,0,0,0,0,0,0,0
land_rover,0,0,0,0,0,0,0,0
local,0,0,0,0,0,0,0,0
summer,0,0,0,0,1,0,0,0
coconut,0,0,0,0,0,0,0,0
enjoy,0,1,0,0,1,0,0,1
greece,0,0,0,0,0,0,0,0
iceland,0,0,0,0,0,0,0,0
islanders,0,0,0,0,0,0,0,0
lexical,0,0,0,0,0,0,0,0
rum,0,0,0,0,0,0,0,0
singapore,0,0,0,0,0,0,0,0
sand,0,0,0,0,0,0,0,0
dirt,0,0,1,0,0,0,0,0
ho,0,0,0,0,0,0,0,0
landmass,0,0,0,0,0,0,0,0
lord,0,0,1,0,1,0,0,1
center,0,0,0,0,0,0,0,1
spring,0,0,0,0,0,0,0,0
liquid,0,0,0,0,0,0,0,0
network,0,1,0,0,0,0,0,0
science,0,0,0,0,0,0,0,0
middle,0,0,0,0,0,0,0,0
mass,0,0,0,0,0,0,0,0
decompose,0,0,1,0,0,0,0,0
diode,0,0,0,0,0,0,0,0
force,1,0,0,1,0,0,0,0
organisation,0,0,0,0,0,0,0,0
experiment,0,1,0,0,0,0,1,0
prediction,0,1,0,0,0,0,0,0
sun,0,1,0,0,1,0,1,1
estimator,0,0,0,0,0,0,0,0
autumn,0,0,0,0,1,0,0,0
winter,0,0,0,0,0,0,0,0
x,0,0,0,0,0,0,0,0
doctorate,0,0,0,0,0,0,0,0
dynamics,0,0,0,0,0,0,1,0
molecule,0,0,0,0,0,0,0,0
water,0,0,0,0,0,0,0,0
flux,0,0,0,0,0,0,0,0
temperature,0,0,0,0,0,0,0,0
solid,0,0,0,0,0,0,0,0
failure,0,0,1,1,0,1,0,0
curricula,0,0,0,0,0,0,0,0
diet,0,0,0,0,0,0,0,0
brain,0,0,0,0,0,0,0,0
destruction,1,0,0,1,0,0,0,0
finality,0,0,0,0,0,0,0,0
mud,0,0,0,0,0,0,0,0
terminator,0,0,0,0,0,0,0,0
complex,0,0,0,0,0,0,0,0
model,0,0,0,0,0,0,0,0
theory,0,1,0,0,0,0,0,1
prey,0,0,0,1,0,0,0,0
structure,0,0,0,0,0,0,0,1
mathematician,0,0,0,0,0,0,0,0
analysis,0,0,0,0,0,0,0,0
dna,0,0,0,0,0,0,0,0
function,0,0,0,0,0,0,0,0
expansion,0,0,0,0,0,0,0,0
connected,0,0,0,0,0,0,0,0
phd,0,0,0,0,0,0,0,0
cycle,0,0,0,0,0,0,0,0
calculus,0,0,0,0,0,0,0,0
language,0,0,0,0,0,0,0,0
attractor,0,0,0,0,0,0,0,0
graph,0,0,0,0,0,0,0,0
hub,0,0,0,0,0,0,0,0
link,0,0,0,0,0,0,0,0
loop,0,0,0,0,0,0,0,0
modify,0,0,0,0,0,0,1,0
multiplex,0,0,0,0,0,0,0,0
car,0,0,0,0,0,0,0,0
degree,0,0,0,0,0,0,0,0
ecological,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,0,0,0
hole,0,0,0,0,0,0,0,0
interconnected,0,0,0,0,0,0,0,0
motion,0,1,0,0,0,0,0,0
node,0,0,0,0,0,0,0,0
pencil,0,0,0,0,0,0,0,0
small-world,0,0,0,0,0,0,0,0
social,0,0,0,0,0,0,0,0
tool,0,0,0,0,0,0,0,0
topology,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,0,0
order,0,0,0,0,0,0,0,0
temporal,0,0,0,0,0,0,0,0
art,0,1,0,0,1,1,1,0
biology,0,0,0,0,0,0,0,0
chemistry,0,0,0,0,0,0,0,0
computer,0,0,0,0,0,0,0,0
conference,0,0,0,0,0,0,0,0
determinism,0,0,0,0,0,0,0,0
discovery,0,0,0,0,0,0,0,0
evolution,0,0,0,0,0,0,0,0
law,0,0,0,0,0,0,0,1
life,0,0,0,0,1,0,0,0
mathematics,0,0,0,0,0,0,0,0
nature,0,0,0,0,1,0,0,0
physics,0,0,0,0,0,0,0,0
promote,0,0,0,0,0,0,0,0
rational,0,0,0,0,0,0,0,1
researcher,0,0,0,0,0,0,0,0
academic,0,0,0,0,0,0,0,1
advance,0,1,0,1,1,0,1,0
articles,0,0,0,0,0,0,0,0
azote,0,0,0,0,0,0,0,0
behaviour,0,0,0,0,0,0,0,0
community,0,0,0,0,0,0,0,0
complexity,0,0,0,0,0,0,0,0
computation,0,0,0,0,0,0,0,0
curiosity,0,1,0,0,0,0,1,0
darwin,0,0,0,0,0,0,0,0
environment,0,0,0,0,0,0,0,0
exploration,0,0,0,0,0,0,0,0
fascinating,0,0,0,0,0,0,0,0
foundation,0,0,0,0,0,0,0,0
fun,0,1,0,0,1,0,0,0
gas,0,0,0,0,0,0,0,0
good,0,1,0,0,1,0,1,1
great,0,0,0,0,0,0,0,0
happy,0,1,0,0,1,0,0,1
idealism,0,0,0,0,0,0,0,0
knowledge,0,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0
math,0,0,0,0,0,0,0,0
maths,0,0,0,0,0,0,0,0
me,0,0,0,0,0,0,0,0
method,0,0,0,0,0,0,0,0
natural,0,0,0,0,0,0,0,0
open,0,0,0,0,0,0,0,0
philosophy,0,0,0,0,0,0,0,0
research,0,0,0,0,0,0,0,0
school,0,0,0,0,0,0,0,1
scientist,0,1,0,0,0,0,0,1
society,0,0,0,0,0,0,0,0
task,0,0,0,0,0,0,0,0
time,0,1,0,0,0,0,0,0
university,0,1,0,0,0,0,0,0
work,0,0,0,0,0,0,0,0
wrong,0,0,0,0,0,0,0,0
simulation,0,0,0,0,0,0,0,0
studies,0,0,0,0,0,0,0,0
system,0,0,0,0,0,0,0,1
x-ray,0,0,0,0,0,0,0,0
of,0,0,0,0,0,0,0,0
hold,0,0,0,0,0,0,0,0
emergence,0,0,0,0,0,0,0,0
gravity,0,0,0,0,0,0,0,0
substance,0,0,0,0,0,0,0,0
drop,0,0,0,0,0,0,0,0
higgs,0,0,0,0,0,0,0,0
molar,0,0,0,0,0,0,0,0
weight,0,1,1,1,1,1,1,1
combination,0,0,0,0,0,0,0,0
death,1,1,1,1,0,1,1,0
universe,0,0,0,0,0,0,0,0
demonstrate,0,0,0,0,0,0,0,0
linear,0,0,0,0,0,0,0,0
radiation,0,0,0,1,0,0,0,0
analyse,0,0,0,0,0,0,0,0
apple,0,0,0,0,0,0,0,0
compose,0,0,0,0,0,0,0,0
cultural,0,0,0,0,0,0,0,0
academia,0,0,0,0,0,0,0,0
battery,1,0,0,0,0,0,0,0
maximum,0,0,0,0,0,0,0,0
bicycle,0,0,0,0,0,0,0,0
anode,0,0,0,0,0,0,0,0
circuit,0,0,0,0,0,0,0,0
led,0,0,0,0,0,0,0,0
interaction,0,0,0,0,0,0,0,0
newton,0,0,0,0,0,0,0,0
air,0,0,0,0,0,0,0,0
attack,1,0,0,1,0,0,0,0
conflict,1,0,0,1,0,1,0,0
directed,0,0,0,0,0,0,0,0
install,0,1,0,0,0,0,0,0
intellect,0,0,0,0,0,0,0,0
jedi,0,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0
push,0,0,0,0,0,0,0,0
strong,0,0,0,0,0,0,0,1
mechanics,0,0,0,0,0,0,0,0
pendulum,0,0,0,0,0,0,0,0
statistics,0,0,0,0,0,0,0,0
renewal,0,0,0,0,0,0,0,0
carry,0,0,0,0,0,0,0,0
corrupt,0,0,0,0,0,0,0,0
large,0,0,0,0,0,0,0,0
self,0,0,0,0,0,0,0,0
structured,0,0,0,0,0,0,0,1
lab,0,0,0,0,0,0,0,0
literature,0,0,0,0,0,0,0,0
acquisition,0,0,0,0,0,0,0,0
player,0,0,0,0,0,0,0,0
failed,0,0,0,0,0,0,0,0
measurement,0,0,0,0,0,0,0,0
terrorism,1,0,1,1,0,1,0,0
newtonian,0,0,0,0,0,0,0,0
scientific,0,0,0,0,0,0,0,1
star,0,1,0,0,1,0,0,1
finance,0,0,0,0,0,0,0,0
pandemics,0,0,0,1,0,1,0,0
skin,0,0,0,0,0,0,0,0
forecast,0,1,0,0,0,0,0,1
wii,0,0,0,0,0,0,0,0
charge,0,0,0,0,0,0,0,0
